Slave count,Framework,Results type,Results codec,Count total,Count mapped,Count passedQC,Count notDuplicate,rname histogram,mapq histogram,BED join,Count BED join,Max quality join,Count max quality join,mapq selection,Count mapq selection,length10 selection,Count length10 selection,length50 selection,Count length50 selection,Mean and stddev
16,shark,rcfile,gzip,111.525,100.697,94.336,91.464,85.541,92.681,207.068,,,,,,,,,,
16,hive,orc,snappy,,,,,,,557.538,18.179,113.29,16.116,42.632,18.125,40.616,18.108,42.599,18.117,49.541
16,hive,orc,zlib,,,,,,,593.55,20.17,151.406,18.132,140.805,18.1,138.79,20.116,138.646,18.125,55.541
16,hive,rcfile,snappy,,,,,,,527.482,14.166,81.342,14.132,22.625,12.124,20.65,14.116,20.617,14.116,41.6
31,hive,rcfile,gzip,81.153,78.189,72.139,76.14,88.154,80.165,384.518,14.127,109.503,14.113,116.647,14.133,130.155,12.124,130.63,12.116,41.6
31,shark,rcfile,gzip,53.657,31.441,27.482,26.232,31.789,31.342,109.828,,,,,,,,,,
31,hive,orc,snappy,,,,,,,375.499,20.161,109.257,18.115,42.716,18.099,49.407,22.116,48.878,18.116,51.591
31,hive,orc,zlib,,,,,,,386.518,20.181,142.433,20.125,144.713,22.132,228.777,22.099,238.677,22.116,61.574
31,hive,rcfile,snappy,,,,,,,347.846,14.195,87.479,14.132,20.675,12.116,22.699,12.124,20.641,12.116,43.606
31,hive,rcfile,gzip,81.183,72.198,76.156,74.147,88.154,90.165,364.455,14.117,111.421,14.122,122.48,12.125,124.939,12.116,125.255,12.116,41.567
31,shark,rcfile,gzip,56.199,30.399,28.541,27.624,37.605,32.325,111.719,,,,,,,,,,
31,hive,orc,snappy,,,,,,,351.525,18.173,109.499,16.115,40.657,18.124,44.698,18.124,44.659,18.116,53.59
31,hive,orc,zlib,,,,,,,367.934,20.177,137.593,18.123,142.713,22.116,224.752,22.116,226.777,22.124,61.616
31,hive,rcfile,snappy,,,,,,,351.65,14.198,77.502,14.132,22.7,12.133,20.75,12.124,18.641,12.125,41.529
31,hive,rcfile,gzip,91.212,92.17,92.137,96.137,136.166,136.16,461.8,14.124,130.2,14.121,118.619,14.124,117.37,12.124,137.402,12.108,41.5
31,shark,rcfile,gzip,81.18,34.165,27.915,27.181,42.253,36.699,112.925,,,,,,,,,,
31,hive,orc,snappy,,,,,,,437.513,46.198,211.32,36.13,76.004,52.13,92.962,46.131,94.653,36.114,109.562
31,hive,orc,zlib,,,,,,,465.145,52.211,232.075,32.13,175.891,30.123,219.089,30.115,227.263,34.132,85.515
31,hive,rcfile,snappy,,,,,,,430.518,14.17,100.522,12.123,27.132,12.124,23.266,12.133,26.462,14.122,41.566
31,hive,rcfile,gzip,81.186,76.198,76.14,78.159,90.161,92.156,382.34,12.123,115.56,14.121,116.672,12.108,130.713,12.125,130.788,12.125,41.55
31,shark,rcfile,gzip,61.349,49.315,31.757,29.341,33.157,38.617,110.303,,,,,,,,,,
31,hive,orc,snappy,,,,,,,371.66,18.194,101.541,18.132,42.799,22.125,50.723,18.121,50.815,20.125,53.616
31,hive,orc,zlib,,,,,,,373.582,20.179,136.16,18.123,140.638,20.124,220.769,20.107,218.705,22.113,61.64
31,hive,rcfile,snappy,,,,,,,343.739,14.19,85.447,14.123,22.808,12.124,20.658,14.125,22.657,12.124,43.708
